"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","jfz1r03h11",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","02 Jan 2019 11:45:36 PST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
02-01 11:46:14,1.349,0.751,97.900,0.0,0.0,0.0,5710548992.0,320696320.0,7838937088.0,2.56567373824e+11,60.0,0.0,0.0,118784.0,0.0,16.0,1696.0,5878.0,0.900,0.420,0.360,2.0,0.0,69.0,0.0,0.0,14.0,226.0,0.0,82.0,0.0
02-01 11:46:15,1.209,0.903,97.874,0.0,0.0,0.014,5672624128.0,320696320.0,7838973952.0,2.56605261824e+11,60.0,0.0,0.0,270336.0,0.0,29.0,2318.0,5978.0,0.900,0.420,0.360,2.0,0.0,197.0,0.0,0.0,14.0,224.0,0.0,86.0,0.0
02-01 11:46:16,1.638,0.514,97.835,0.014,0.0,0.0,5713629184.0,320696320.0,7838978048.0,2.56564252672e+11,60.0,0.0,0.0,2191360.0,0.0,22.0,1229.0,5827.0,0.900,0.420,0.360,2.0,0.0,4.0,0.0,0.0,14.0,226.0,0.0,91.0,0.0
02-01 11:46:17,1.308,0.473,98.219,0.0,0.0,0.0,5693739008.0,320696320.0,7839023104.0,2.56584097792e+11,60.0,0.0,0.0,151552.0,0.0,10.0,1529.0,5111.0,0.900,0.420,0.360,2.0,0.0,60.0,0.0,0.0,14.0,224.0,0.0,95.0,0.0
02-01 11:46:18,1.334,0.653,97.998,0.0,0.0,0.014,5663682560.0,320696320.0,7839047680.0,2.56614129664e+11,60.0,0.0,0.0,143360.0,0.0,11.0,1595.0,5560.0,0.910,0.430,0.360,2.0,0.0,87.0,0.0,0.0,14.0,224.0,0.0,103.0,0.0
02-01 11:46:19,1.609,0.707,97.656,0.0,0.0,0.028,5714505728.0,320696320.0,7839064064.0,2.56563290112e+11,60.0,0.0,0.0,163840.0,0.0,17.0,1218.0,5586.0,0.910,0.430,0.360,2.0,0.0,4.0,0.0,0.0,14.0,226.0,0.0,104.0,0.0
02-01 11:46:20,1.321,0.668,97.997,0.0,0.0,0.014,5664989184.0,320696320.0,7839121408.0,2.56612749312e+11,60.0,0.0,0.0,151552.0,0.0,11.0,2388.0,6500.0,0.910,0.430,0.360,2.0,0.0,217.0,0.0,0.0,14.0,224.0,0.0,112.0,0.0
02-01 11:46:21,1.488,0.626,97.887,0.0,0.0,0.0,5713817600.0,320696320.0,7839133696.0,2.56563908608e+11,60.0,0.0,0.0,1769472.0,0.0,37.0,1417.0,5896.0,0.910,0.430,0.360,6.0,0.0,6.0,0.0,0.0,14.0,226.0,0.0,115.0,0.0
02-01 11:46:22,1.197,0.585,98.177,0.0,0.0,0.042,5675159552.0,320696320.0,7839186944.0,2.56602513408e+11,60.0,0.0,0.0,0.0,0.0,0.0,1836.0,5392.0,0.910,0.430,0.360,2.0,0.0,60.0,0.0,0.0,14.0,224.0,0.0,121.0,0.0
02-01 11:46:23,1.485,0.541,97.932,0.0,0.0,0.042,5710499840.0,320696320.0,7839195136.0,2.56567164928e+11,120.0,0.0,0.0,49152.0,0.0,6.0,1235.0,5158.0,0.920,0.440,0.370,2.0,0.0,2.0,0.0,0.0,14.0,226.0,0.0,128.0,0.0
02-01 11:46:24,1.447,0.723,97.830,0.0,0.0,0.0,5708251136.0,320696320.0,7839223808.0,2.5656938496e+11,180.0,0.0,0.0,122880.0,0.0,16.0,1822.0,5788.0,0.920,0.440,0.370,4.0,0.0,93.0,0.0,0.0,14.0,224.0,0.0,129.0,0.0
02-01 11:46:25,1.237,0.737,98.012,0.0,0.0,0.014,5661773824.0,320696320.0,7839272960.0,2.5661581312e+11,60.0,0.0,0.0,0.0,0.0,0.0,2003.0,6231.0,0.920,0.440,0.370,2.0,0.0,110.0,0.0,0.0,14.0,224.0,0.0,138.0,0.0
02-01 11:46:26,1.323,0.668,98.009,0.0,0.0,0.0,5719437312.0,320696320.0,7839293440.0,2.56558129152e+11,180.0,0.0,0.0,688128.0,0.0,11.0,1630.0,5684.0,0.920,0.440,0.370,2.0,0.0,114.0,0.0,0.0,14.0,225.0,0.0,140.0,0.0
02-01 11:46:27,1.431,0.570,97.999,0.0,0.0,0.0,5679251456.0,320696320.0,7839342592.0,2.56598265856e+11,60.0,0.0,0.0,0.0,0.0,0.0,1575.0,5794.0,0.920,0.440,0.370,2.0,0.0,58.0,0.0,0.0,14.0,224.0,0.0,147.0,0.0
02-01 11:46:28,1.323,0.418,98.231,0.0,0.0,0.028,5720158208.0,320696320.0,7839350784.0,2.56557350912e+11,120.0,0.0,0.0,40960.0,0.0,4.0,1229.0,5477.0,0.920,0.450,0.370,2.0,0.0,5.0,0.0,0.0,14.0,224.0,0.0,155.0,0.0
02-01 11:46:29,1.349,0.862,97.789,0.0,0.0,0.0,5717913600.0,320696320.0,7839391744.0,2.5655955456e+11,120.0,0.0,0.0,77824.0,0.0,8.0,1720.0,5766.0,0.920,0.450,0.370,2.0,0.0,89.0,0.0,0.0,14.0,226.0,0.0,156.0,0.0
02-01 11:46:30,1.224,0.682,98.052,0.0,0.0,0.042,5664260096.0,320696320.0,7839428608.0,2.566131712e+11,240.0,0.0,0.0,49152.0,0.0,6.0,2590.0,6432.0,0.920,0.450,0.370,5.0,0.0,157.0,0.0,0.0,14.0,224.0,0.0,164.0,0.0
02-01 11:46:31,1.582,0.763,97.655,0.0,0.0,0.0,5722509312.0,320696320.0,7839457280.0,2.56554893312e+11,180.0,0.0,0.0,2310144.0,0.0,278.0,2285.0,6052.0,0.920,0.450,0.370,2.0,0.0,68.0,0.0,0.0,14.0,226.0,0.0,165.0,0.0
02-01 11:46:32,1.469,0.776,97.713,0.0,0.0,0.042,5682003968.0,320696320.0,7839522816.0,2.5659533312e+11,254.0,0.0,0.0,0.0,0.0,0.0,1846.0,5937.0,0.920,0.450,0.370,2.0,0.0,58.0,0.0,0.0,14.0,224.0,0.0,173.0,0.0
02-01 11:46:33,1.404,0.459,98.137,0.0,0.0,0.0,5720391680.0,320696320.0,7839547392.0,2.56556920832e+11,240.0,0.0,0.0,40960.0,0.0,4.0,1320.0,5388.0,0.930,0.460,0.370,2.0,0.0,5.0,0.0,0.0,14.0,226.0,0.0,177.0,0.0
02-01 11:46:34,1.515,0.737,97.748,0.0,0.0,0.0,5721030656.0,320696320.0,7839571968.0,2.5655625728e+11,120.0,0.0,0.0,94208.0,0.0,12.0,1722.0,5871.0,0.930,0.460,0.370,2.0,0.0,91.0,0.0,0.0,14.0,224.0,0.0,178.0,0.0
02-01 11:46:35,1.279,0.695,97.984,0.0,0.0,0.042,5679505408.0,320696320.0,7839621120.0,2.56597733376e+11,60.0,0.0,0.0,0.0,0.0,0.0,1901.0,6672.0,0.930,0.460,0.370,2.0,0.0,161.0,0.0,0.0,14.0,224.0,0.0,187.0,0.0
02-01 11:46:36,1.474,0.529,97.983,0.0,0.0,0.014,5722116096.0,320696320.0,7839629312.0,2.56555114496e+11,180.0,0.0,0.0,315392.0,0.0,16.0,1147.0,5672.0,0.930,0.460,0.370,2.0,0.0,4.0,0.0,0.0,14.0,226.0,0.0,191.0,0.0
02-01 11:46:37,1.156,0.682,98.162,0.0,0.0,0.0,5701013504.0,320696320.0,7839678464.0,2.56576167936e+11,60.0,0.0,0.0,69632.0,0.0,10.0,1673.0,5684.0,0.930,0.460,0.370,2.0,0.0,153.0,0.0,0.0,14.0,224.0,0.0,192.0,0.0
02-01 11:46:38,1.484,0.569,97.947,0.0,0.0,0.0,5671161856.0,320696320.0,7839694848.0,2.566060032e+11,60.0,0.0,0.0,32768.0,0.0,4.0,1084.0,4847.0,0.930,0.470,0.380,2.0,0.0,16.0,0.0,0.0,14.0,224.0,0.0,197.0,0.0
02-01 11:46:39,1.307,0.876,97.775,0.0,0.0,0.042,5725536256.0,320696320.0,7839711232.0,2.56551612416e+11,60.0,0.0,0.0,69632.0,0.0,6.0,2432.0,6102.0,0.930,0.470,0.380,2.0,0.0,186.0,0.0,0.0,14.0,224.0,0.0,197.0,0.0
02-01 11:46:40,1.444,0.653,97.876,0.0,0.0,0.028,5686980608.0,320696320.0,7839756288.0,2.56590123008e+11,394.0,0.0,0.0,86016.0,0.0,8.0,1731.0,5746.0,0.930,0.470,0.380,2.0,0.0,58.0,0.0,0.0,14.0,224.0,0.0,206.0,0.0
02-01 11:46:41,1.722,0.542,97.736,0.0,0.0,0.0,5726953472.0,320696320.0,7839772672.0,2.5655013376e+11,244.0,94.0,0.0,856064.0,0.0,12.0,1348.0,6286.0,0.930,0.470,0.380,3.0,0.0,4.0,0.0,0.0,14.0,226.0,0.0,208.0,0.0
02-01 11:46:42,1.294,0.515,98.136,0.0,0.0,0.056,5726892032.0,320696320.0,7839809536.0,2.56550158336e+11,60.0,0.0,0.0,102400.0,0.0,12.0,1818.0,4864.0,0.930,0.470,0.380,2.0,0.0,89.0,0.0,0.0,14.0,224.0,0.0,210.0,0.0
02-01 11:46:43,1.321,0.681,97.998,0.0,0.0,0.0,5682421760.0,320696320.0,7839858688.0,2.56594579456e+11,60.0,0.0,0.0,57344.0,0.0,6.0,2192.0,6391.0,0.860,0.460,0.380,3.0,0.0,180.0,0.0,0.0,14.0,224.0,0.0,219.0,0.0
02-01 11:46:44,1.310,0.599,98.063,0.0,0.0,0.028,5735079936.0,320696320.0,7839879168.0,2.565419008e+11,60.0,0.0,0.0,192512.0,0.0,25.0,1800.0,5827.0,0.860,0.460,0.380,2.0,0.0,46.0,0.0,0.0,14.0,226.0,0.0,220.0,0.0
02-01 11:46:45,1.431,0.556,97.944,0.0,0.0,0.069,5695070208.0,320696320.0,7839928320.0,2.56581861376e+11,120.0,0.0,0.0,114688.0,0.0,9.0,1678.0,5822.0,0.860,0.460,0.380,3.0,0.0,59.0,0.0,0.0,14.0,224.0,0.0,228.0,0.0
02-01 11:46:46,1.681,0.542,97.750,0.0,0.0,0.028,5732036608.0,320696320.0,7839944704.0,2.56544878592e+11,120.0,42.0,0.0,126976.0,0.0,15.0,1367.0,6115.0,0.860,0.460,0.380,2.0,0.0,3.0,0.0,0.0,14.0,224.0,0.0,235.0,0.0
02-01 11:46:47,1.416,0.625,97.945,0.0,0.0,0.014,5733732352.0,320696320.0,7839969280.0,2.56543158272e+11,60.0,0.0,0.0,77824.0,0.0,8.0,1398.0,4552.0,0.860,0.460,0.380,2.0,0.0,90.0,0.0,0.0,14.0,226.0,0.0,236.0,0.0
02-01 11:46:48,1.252,0.723,97.983,0.0,0.0,0.042,5690011648.0,320696320.0,7840026624.0,2.56586821632e+11,60.0,0.0,0.0,81920.0,0.0,8.0,2701.0,6741.0,0.790,0.450,0.370,2.0,0.0,219.0,0.0,0.0,14.0,224.0,0.0,244.0,0.0
02-01 11:46:49,1.612,0.583,97.805,0.0,0.0,0.0,5733384192.0,320696320.0,7840043008.0,2.56543432704e+11,60.0,0.0,0.0,548864.0,0.0,26.0,1286.0,6201.0,0.790,0.450,0.370,2.0,0.0,4.0,0.0,0.0,14.0,226.0,0.0,249.0,0.0
02-01 11:46:50,1.553,0.624,97.754,0.0,0.0,0.069,5719867392.0,320696320.0,7840083968.0,2.56556908544e+11,120.0,0.0,0.0,0.0,0.0,0.0,1907.0,5033.0,0.790,0.450,0.370,2.0,0.0,60.0,0.0,0.0,14.0,224.0,0.0,253.0,0.0
02-01 11:46:51,1.461,0.654,97.843,0.0,0.0,0.042,5694214144.0,320696320.0,7840129024.0,2.56582516736e+11,60.0,0.0,0.0,77824.0,0.0,10.0,1965.0,6682.0,0.790,0.450,0.370,3.0,0.0,87.0,0.0,0.0,14.0,224.0,0.0,259.0,0.0
02-01 11:46:52,1.528,0.417,98.041,0.0,0.0,0.014,5734674432.0,320696320.0,7840141312.0,2.5654204416e+11,60.0,0.0,0.0,135168.0,0.0,11.0,1088.0,5021.0,0.790,0.450,0.370,2.0,0.0,4.0,0.0,0.0,14.0,226.0,0.0,263.0,0.0
02-01 11:46:53,1.238,0.723,98.039,0.0,0.0,0.0,5705564160.0,320696320.0,7840198656.0,2.56571097088e+11,60.0,0.0,0.0,0.0,0.0,0.0,1871.0,6040.0,0.810,0.460,0.380,2.0,0.0,168.0,0.0,0.0,14.0,224.0,0.0,265.0,0.0
02-01 11:46:54,1.366,0.530,98.104,0.0,0.0,0.0,5683867648.0,320696320.0,7840202752.0,2.56592789504e+11,60.0,0.0,0.0,53248.0,0.0,4.0,1314.0,5649.0,0.810,0.460,0.380,2.0,0.0,52.0,0.0,0.0,14.0,224.0,0.0,267.0,0.0
02-01 11:46:55,1.169,0.612,98.219,0.0,0.0,0.0,5735731200.0,320696320.0,7840227328.0,2.56540901376e+11,120.0,0.0,0.0,0.0,0.0,0.0,1574.0,4981.0,0.810,0.460,0.380,2.0,0.0,99.0,0.0,0.0,14.0,225.0,0.0,267.0,0.0
02-01 11:46:56,1.432,0.723,97.804,0.0,0.0,0.042,5706678272.0,320696320.0,7840260096.0,2.56569921536e+11,394.0,0.0,0.0,135168.0,0.0,16.0,1924.0,6764.0,0.810,0.460,0.380,2.0,0.0,131.0,0.0,0.0,14.0,224.0,0.0,266.0,0.0
02-01 11:46:57,1.515,0.459,98.012,0.0,0.0,0.014,5681500160.0,320696320.0,7840264192.0,2.56595095552e+11,120.0,0.0,0.0,69632.0,0.0,8.0,1372.0,5728.0,0.810,0.460,0.380,2.0,0.0,21.0,0.0,0.0,14.0,224.0,0.0,274.0,0.0
02-01 11:46:58,1.321,0.529,98.150,0.0,0.0,0.0,5735403520.0,320696320.0,7840313344.0,2.5654114304e+11,240.0,42.0,0.0,45056.0,0.0,6.0,1326.0,4757.0,0.820,0.470,0.380,2.0,0.0,42.0,0.0,0.0,14.0,225.0,0.0,272.0,0.0
02-01 11:46:59,1.461,0.626,97.886,0.0,0.0,0.028,5716144128.0,320696320.0,7840354304.0,2.56560361472e+11,60.0,0.0,0.0,110592.0,0.0,12.0,1710.0,6285.0,0.820,0.470,0.380,2.0,0.0,62.0,0.0,0.0,14.0,224.0,0.0,274.0,0.0
02-01 11:47:00,1.405,0.487,98.109,0.0,0.0,0.0,5678612480.0,320696320.0,7840370688.0,2.56597876736e+11,120.0,0.0,0.0,57344.0,0.0,6.0,1431.0,5634.0,0.820,0.470,0.380,2.0,0.0,54.0,0.0,0.0,14.0,224.0,0.0,276.0,0.0
02-01 11:47:01,1.364,0.654,97.926,0.0,0.0,0.056,5735952384.0,320696320.0,7840407552.0,2.56540499968e+11,60.0,0.0,0.0,319488.0,0.0,11.0,3153.0,6276.0,0.820,0.470,0.380,2.0,0.0,70.0,0.0,0.0,14.0,224.0,1.0,277.0,0.0
02-01 11:47:02,1.322,0.543,98.136,0.0,0.0,0.0,5706293248.0,320696320.0,7840460800.0,2.56570105856e+11,60.0,0.0,0.0,0.0,0.0,0.0,1670.0,5678.0,0.820,0.470,0.380,2.0,0.0,60.0,0.0,0.0,14.0,224.0,0.0,276.0,0.0
02-01 11:47:03,1.499,0.500,98.001,0.0,0.0,0.0,5733822464.0,320696320.0,7840477184.0,2.56542560256e+11,120.0,0.0,0.0,45056.0,0.0,4.0,1256.0,5058.0,0.840,0.480,0.380,2.0,0.0,6.0,0.0,0.0,14.0,224.0,0.0,283.0,0.0
02-01 11:47:04,1.569,0.763,97.640,0.0,0.0,0.028,5733978112.0,320696320.0,7840505856.0,2.56542375936e+11,120.0,0.0,0.0,77824.0,0.0,8.0,1415.0,5796.0,0.840,0.480,0.380,2.0,0.0,63.0,0.0,0.0,14.0,226.0,0.0,280.0,0.0
